,age_ma,Feature,Ti,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,U,Th
507,57.9,0.0,3.28,1.5550000000000002,2.95,0.7250000000000001,0.03,0.8,2.55,0.18,18.14,8.18,106.1375,52.86,97.86749999999999,68.53,172.63875000000002,1.76,4362.796250000004,515.4,13.45
508,57.2,0.0,3.09,1.5550000000000002,0.91,0.7250000000000001,0.27,1.89,2.64375,0.28,23.497500000000002,10.8,106.1375,69.07,97.86749999999999,86.33,172.63875000000002,1.56,4362.796250000004,783.1,16.96
509,57.7,0.0,3.64,1.5550000000000002,0.03,0.7250000000000001,0.03,0.66,1.75,0.16,14.99,6.68,94.94,41.96,97.86749999999999,51.49,172.63875000000002,1.52,4362.796250000004,273.7,7.28
510,57.7,0.0,3.63,1.5550000000000002,3.33,0.7250000000000001,0.89,4.81,2.59,0.12,15.74,6.11,87.04,37.04,97.86749999999999,42.95,172.63875000000002,0.69,4362.796250000004,249.0,6.79
511,57.4,0.0,3.63,1.5550000000000002,11.85,0.7250000000000001,3.73,12.561250000000001,2.64375,0.15,16.85,6.43,85.61,36.25,97.86749999999999,38.92,172.63875000000002,1.97,4362.796250000004,217.2,6.21
512,57.5,0.0,3.63,1.5550000000000002,9.22,0.7250000000000001,0.02,0.56,1.88,0.15,13.64,5.99,83.86,35.76,97.86749999999999,40.89,172.63875000000002,1.39,4362.796250000004,258.9,6.3
513,57.2,0.0,4.12,1.5550000000000002,0.85,0.7250000000000001,0.3,1.86,2.61,0.17,19.2,8.34,106.1375,55.03,97.86749999999999,68.3,172.63875000000002,1.91,4362.796250000004,328.0,9.03
514,57.2,0.0,3.64,1.5550000000000002,13.24,0.7250000000000001,2.69,10.81,2.64375,0.19,17.58,6.77,93.23,40.35,97.86749999999999,47.29,172.63875000000002,1.52,4362.796250000004,349.6,8.02
515,57.5,0.0,3.64,1.5550000000000002,1.05,0.7250000000000001,0.48,2.76,2.46,0.17,14.21,5.95,84.7,37.45,97.86749999999999,45.87,172.63875000000002,0.98,4362.796250000004,307.3,7.54
516,57.1,0.0,4.12,1.5550000000000002,6.92,0.7250000000000001,0.13,0.43,2.64375,0.11,18.77,8.65,106.1375,51.81,97.86749999999999,58.75,172.63875000000002,6.02,4362.796250000004,369.4,17.99
517,55.4,0.0,3.63,1.5550000000000002,10.6,0.7250000000000001,0.1,0.6,1.17,0.35,10.86,4.14,60.34,26.25,97.86749999999999,34.68,172.63875000000002,2.1,4362.796250000004,238.5,4.03
518,56.7,0.0,3.63,1.5550000000000002,19.58,0.7250000000000001,4.93,12.561250000000001,2.64375,0.26,18.02,6.57,87.77,36.39,97.86749999999999,43.79,172.63875000000002,2.02,4362.796250000004,274.4,5.18
519,57.5,0.0,3.27,1.5550000000000002,3.0,0.7250000000000001,0.17,1.51,2.64375,0.96,23.497500000000002,10.32,106.1375,57.03,97.86749999999999,67.85,172.63875000000002,7.91,4362.796250000004,687.0,7.47
520,56.4,0.0,3.64,1.5550000000000002,0.33,0.7250000000000001,0.19,1.59,1.0,0.23,14.18,6.03,83.18,35.95,97.86749999999999,47.15,172.63875000000002,2.6,4362.796250000004,330.0,5.1
521,56.0,0.0,3.65,1.5550000000000002,3.42,0.7250000000000001,1.11,3.95,2.64375,0.58,17.31,7.12,99.56,42.54,97.86749999999999,53.04,172.63875000000002,4.3,4362.796250000004,463.0,6.61
522,56.7,0.0,3.63,1.5550000000000002,16.63,0.7250000000000001,4.99,12.561250000000001,2.64375,0.59,14.72,5.77,79.08,34.3,97.86749999999999,42.38,172.63875000000002,5.41,4362.796250000004,222.9,3.96
523,58.0,0.0,3.64,1.5550000000000002,0.85,0.7250000000000001,0.32,2.97,2.49,0.29,17.24,7.41,105.38,44.64,97.86749999999999,53.8,172.63875000000002,0.82,4362.796250000004,334.9,5.28
524,58.5,0.0,3.63,1.5550000000000002,4.46,0.7250000000000001,1.02,5.61,2.64375,0.19,14.21,5.94,82.24,36.52,97.86749999999999,45.25,172.63875000000002,11.14,4362.796250000004,245.5,4.02
525,75.0,0.0,3.63,1.5550000000000002,1.43,0.7250000000000001,0.38,1.85,0.98,0.26,11.8,5.78,80.26,35.04,97.86749999999999,41.84,172.63875000000002,1.59,4362.796250000004,334.5,11.0
526,73.2,0.0,3.12,1.5550000000000002,0.1,0.7250000000000001,0.17,0.87,2.64375,0.23,23.497500000000002,11.35,106.1375,69.65,97.86749999999999,77.6,172.63875000000002,2.94,4362.796250000004,364.8,15.91
527,73.4,0.0,3.64,1.5550000000000002,8.72,0.7250000000000001,2.23,10.97,2.64375,0.27,19.18,7.62,106.1375,46.37,97.86749999999999,55.36,172.63875000000002,1.66,4362.796250000004,388.3,11.8
528,57.4,0.0,3.65,1.5550000000000002,10.49,0.7250000000000001,2.59,11.37,2.64375,0.42,19.46,7.49,99.56,42.93,97.86749999999999,53.31,172.63875000000002,0.02,4362.796250000004,436.5,4.88
529,53.0,0.0,4.12,1.5550000000000002,1.42,0.7250000000000001,0.4,2.86,2.59,0.45,15.98,6.86,101.78,47.49,97.86749999999999,65.05,172.63875000000002,4.16,4362.796250000004,254.1,3.12
